participant_id,age,employment,ethnicity,gender,language,language2,level_of_education,location,group_id,work,area_of_work,discipline,agreeableness,conscientiousness,extraversion,neuroticism,openness,perceived_creativity,time_perception,number_perception,effort,role,relationship_importance,feedback_importance
i35460,32,Full-time employed,Other ethnic group,Male,Yes,,Graduate degree (MA/MSc/MPhil/other),Other,35456,4,Science and pharmaceuticals,Chemistry,2.5,4.75,1.0,3.75,3.0,2.0,2.0,3.0,60%-80%,Generating and evaluating ideas,5.0,5.0
i35458,27,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,Thai,Graduate degree (MA/MSc/MPhil/other),Asia,35456,5,"Accountancy, banking and finance",Business and management,4.0,3.5,2.25,2.5,3.5,3.0,3.0,4.0,20%-40%,Generating ideas,3.0,4.0
i34344,28,Unemployed (and job seeking),"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,Hindi,Graduate degree (MA/MSc/MPhil/other),Prefer not to say,34336,6,"Accountancy, banking and finance",Business and management,4.0,3.75,4.0,2.25,2.5,4.0,2.0,2.0,40%-60%,Generating and evaluating ideas,4.0,4.0
i34342,26,Prefer not to say,Chinese / Chinese British,Female,No,Mandarin,Graduate degree (MA/MSc/MPhil/other),Asia,34336,3,Creative arts and design,Architecture and design,4.0,3.75,2.75,3.0,5.0,4.0,4.0,2.0,80%-100%,Generating and evaluating ideas,4.0,3.0
i34343,27,Unemployed (and job seeking),"Black / Black British - Caribbean, African, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Africa,34336,3,Law,Law,4.0,3.75,4.0,3.25,4.0,5.0,3.0,4.0,80%-100%,Generating and evaluating ideas,5.0,5.0
i34346,27,Unemployed (and job seeking),"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Asia,34336,5,"Business, consulting and management",Business and management,3.75,3.0,3.75,3.5,3.5,4.0,5.0,4.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i34345,29,Not in paid work - student,Chinese / Chinese British,Female,No but I speak it fluently,Cantonese,Graduate degree (MA/MSc/MPhil/other),Asia,34336,6,Environment and agriculture,Business and management,2.25,1.5,3.25,3.0,4.75,4.0,4.0,2.0,40%-60%,Generating ideas,3.0,3.0
i34347,26,Not in paid work - student,Chinese / Chinese British,Female,Yes,,Graduate degree (MA/MSc/MPhil/other),North America,34336,2,Media and internet,Business and management,5.0,3.0,5.0,2.0,4.25,3.0,4.0,2.0,40%-60%,Moderating the discussion,5.0,3.0
i36238,26,Not in paid work - student,Chinese / Chinese British,Female,Yes,,Undergraduate degree (BA/BSc/other),Asia,36234,2,Charity and voluntary work,Political science,4.0,2.75,1.25,5.0,3.25,5.0,3.0,2.0,80%-100%,Generating and evaluating ideas,5.0,4.0
i36239,21,Unemployed (and job seeking),Chinese / Chinese British,Male,Yes,,Graduate degree (MA/MSc/MPhil/other),Asia,36234,0,0,Sociology,4.0,1.75,4.0,3.75,4.5,3.0,4.0,2.0,40%-60%,Generating and evaluating ideas,5.0,5.0
i36240,26,Unemployed (and job seeking),"Black / Black British - Caribbean, African, other",Male,Yes,,Undergraduate degree (BA/BSc/other),Africa,36234,2,Environment and agriculture,Political science,5.0,5.0,2.75,1.75,4.5,5.0,5.0,4.0,60%-80%,Evaluating ideas,5.0,5.0
i35214,25,Not in paid work - student,Chinese / Chinese British,Male,Yes,,Undergraduate degree (BA/BSc/other),Asia,35213,1,"Accountancy, banking and finance",Business and management,2.75,2.5,2.5,2.25,3.5,4.0,1.0,1.0,80%-100%,Generating ideas,5.0,4.0
i35216,26,Unemployed (and job seeking),Chinese / Chinese British,Female,No but I speak it fluently,chinese,Graduate degree (MA/MSc/MPhil/other),Asia,35213,1,0,Psychology,3.75,3.0,3.5,3.5,4.5,3.0,2.0,4.0,40%-60%,Generating ideas,4.0,4.0
i35215,31,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Bahasa Indonesia,Undergraduate degree (BA/BSc/other),Asia,35213,7,"Business, consulting and management",Economics,4.75,3.75,3.25,2.0,4.75,4.0,4.0,4.0,80%-100%,Generating and evaluating ideas,4.0,4.0
i34422,23,Not in paid work - student,"White - British, Irish, other",Female,Yes,,Undergraduate degree (BA/BSc/other),Europe,34420,0,0,Medicine and health,5.0,3.0,2.25,1.75,4.75,2.0,2.0,2.0,20%-40%,Generating ideas,5.0,4.0
i34425,26,Not in paid work - student,Chinese / Chinese British,Female,No,Mandarin,Doctorate degree (PhD/other),Pacific Islands,34420,0,0,Chemistry,3.5,2.75,3.5,3.75,3.0,3.0,2.0,2.0,80%-100%,Generating and evaluating ideas,4.0,3.0
i34423,28,Not in paid work - student,Chinese / Chinese British,Female,No,chinese,Graduate degree (MA/MSc/MPhil/other),Asia,34420,0,"Business, consulting and management",Chemistry,3.25,3.0,2.75,2.25,4.75,3.0,4.0,2.0,60%-80%,Moderating the discussion,4.0,4.0
i34427,23,Due to start a new job,Other ethnic group,Female,No,Arabic,Graduate degree (MA/MSc/MPhil/other),Asia,34420,0,0,Medicine and health,4.0,4.75,2.75,3.75,3.75,3.0,2.0,3.0,40%-60%,Generating and evaluating ideas,5.0,3.0
i34426,22,Not in paid work - student,Other ethnic group,Female,No but I speak it fluently,Arabic,Undergraduate degree (BA/BSc/other),Asia,34420,0,0,Medicine and health,4.75,2.5,4.25,4.25,1.0,3.0,1.0,5.0,80%-100%,Generating and evaluating ideas,5.0,4.0
i34424,23,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Mandarin,Undergraduate degree (BA/BSc/other),Asia,34420,0,0,Biology,4.25,2.25,4.0,2.5,3.5,4.0,2.0,4.0,80%-100%,Generating ideas,4.0,4.0
i35044,30,Self-employed,Mixed race - White and other,Male,No,Spanish,Undergraduate degree (BA/BSc/other),South America,35042,8,"Marketing, advertising and PR",Business and management,4.75,4.25,4.25,1.75,4.5,4.0,1.0,2.0,60%-80%,Generating and evaluating ideas,4.0,5.0
i35046,28,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,No,Cantonese and Mandarin,Undergraduate degree (BA/BSc/other),Australia,35042,5,"Accountancy, banking and finance",Business and management,3.75,3.25,3.5,1.75,3.25,4.0,1.0,5.0,60%-80%,Generating and evaluating ideas,4.0,2.0
i35045,30,Full-time employed,Mixed race - Other,Female,No but I speak it fluently,Spanish,Graduate degree (MA/MSc/MPhil/other),South America,35042,8,"Business, consulting and management",Economics,4.75,4.75,4.75,1.75,4.5,3.0,2.0,5.0,60%-80%,Generating and evaluating ideas,5.0,4.0
i35898,22,Not in paid work - student,Chinese / Chinese British,Female,No,Chinese,Undergraduate degree (BA/BSc/other),Asia,35897,1,"Teacher, training and education",Economics,4.5,3.0,4.75,2.0,4.0,2.0,4.0,5.0,60%-80%,Generating and evaluating ideas,5.0,5.0
i35900,22,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Chinese,Undergraduate degree (BA/BSc/other),North America,35897,0,Science and pharmaceuticals,Physics,4.5,4.0,1.5,1.25,4.5,4.0,3.0,5.0,60%-80%,Generating and evaluating ideas,4.0,2.0
i35901,27,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Europe,35897,4,Science and pharmaceuticals,Engineering and technology,4.75,4.0,2.25,2.5,3.75,3.0,4.0,5.0,60%-80%,Moderating the discussion,4.0,5.0
i35237,22,Not in paid work - student,Prefer not to say,Female,No but I speak it fluently,Cantonese,Undergraduate degree (BA/BSc/other),Asia,35227,0,0,Medicine and health,2.75,4.0,1.25,4.0,2.5,2.0,3.0,4.0,20%-40%,Keeping notes,4.0,4.0
i35236,18,Self-employed,"White - British, Irish, other",Other,Yes,,High school diploma/A-levels,Europe,35227,2,"Teacher, training and education",Psychology,5.0,3.5,3.75,3.25,4.25,4.0,2.0,4.0,40%-60%,Generating and evaluating ideas,4.0,3.0
i35235,21,Not in paid work - student,"White - British, Irish, other",Female,Yes,,Undergraduate degree (BA/BSc/other),Europe,35227,0,0,History,5.0,4.75,3.0,4.0,3.5,4.0,2.0,2.0,80%-100%,Generating ideas,4.0,3.0
i35195,26,Not in paid work - student,"Black / Black British - Caribbean, African, other",Female,No but I speak it fluently,Swahili,Undergraduate degree (BA/BSc/other),Africa,35192,2,Healthcare,Medicine and health,2.5,2.75,2.0,4.25,3.5,2.0,2.0,4.0,40%-60%,Keeping notes,3.0,3.0
i35197,47,Part-time employed,Chinese / Chinese British,Male,Yes,,Undergraduate degree (BA/BSc/other),North America,35192,12,Healthcare,Medicine and health,5.0,4.75,1.25,1.75,2.5,3.0,5.0,4.0,60%-80%,Generating and evaluating ideas,5.0,4.0
i35196,42,Full-time employed,Chinese / Chinese British,Male,No but I speak it fluently,Mandarins,Doctorate degree (PhD/other),Europe,35192,12,"Teacher, training and education",Psychology,4.25,3.5,1.75,2.5,2.75,2.0,2.0,4.0,40%-60%,Moderating the discussion,4.0,4.0
i35007,22,Not in paid work - student,Chinese / Chinese British,Female,No,Cantonese,Graduate degree (MA/MSc/MPhil/other),Asia,35005,0,0,Earth science,4.25,4.0,2.5,4.25,2.75,3.0,1.0,4.0,60%-80%,Generating and evaluating ideas,5.0,4.0
i35008,24,Not in paid work - student,Chinese / Chinese British,Female,No but I speak it fluently,Chinese,Graduate degree (MA/MSc/MPhil/other),Asia,35005,0,Science and pharmaceuticals,Biology,3.75,1.25,3.25,4.0,4.75,3.0,1.0,1.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i35009,22,Unemployed (and job seeking),Chinese / Chinese British,Female,No,Cantonese,Graduate degree (MA/MSc/MPhil/other),Asia,35005,0,0,Languages and literature,4.75,2.75,4.5,3.25,4.25,3.0,2.0,4.0,40%-60%,Generating and evaluating ideas,4.0,3.0
i36544,28,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Male,Yes,,Graduate degree (MA/MSc/MPhil/other),North America,36540,5,Healthcare,Business and management,5.0,3.25,4.25,2.25,4.75,3.0,4.0,2.0,60%-80%,Generating and evaluating ideas,5.0,5.0
i36542,32,Not in paid work - student,"Black / Black British - Caribbean, African, other",Female,Yes,,Undergraduate degree (BA/BSc/other),North America,36540,9,Charity and voluntary work,Business and management,4.25,2.25,3.75,4.5,4.5,3.0,2.0,4.0,80%-100%,Generating ideas,5.0,4.0
i36543,28,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,,Graduate degree (MA/MSc/MPhil/other),Asia,36540,5,Energy and utilities,Business and management,4.0,2.5,3.75,3.5,3.75,4.0,2.0,2.0,60%-80%,Generating and evaluating ideas,4.0,3.0
i36148,25,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Tamil,Undergraduate degree (BA/BSc/other),Asia,36144,2,Law,Law,4.5,4.5,3.0,2.5,3.75,3.0,2.0,2.0,60%-80%,Keeping notes,5.0,5.0
i36150,22,Not in paid work - student,Other ethnic group,Female,Yes,,Undergraduate degree (BA/BSc/other),Asia,36144,0,0,Physics,4.5,4.25,3.5,3.5,3.5,4.0,2.0,2.0,40%-60%,Generating and evaluating ideas,4.0,4.0
i36149,23,Not in paid work - student,"White - British, Irish, other",Female,No but I speak it fluently,Italian,Graduate degree (MA/MSc/MPhil/other),Europe,36144,0,0,Medicine and health,4.0,2.5,2.5,3.5,4.0,3.0,4.0,3.0,40%-60%,Generating and evaluating ideas,4.0,4.0
i36295,29,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No but I speak it fluently,Hindi,Graduate degree (MA/MSc/MPhil/other),Asia,36291,6,"Teacher, training and education",Education,5.0,4.25,4.25,2.75,4.75,3.0,2.0,4.0,60%-80%,Moderating the discussion,4.0,4.0
i36296,22,Not in paid work - student,"Asian / Asian British - Indian, Pakistan, Bangladeshi, other",Female,No,Mandarin,Graduate degree (MA/MSc/MPhil/other),Asia,36291,0,0,Economics,3.0,3.75,2.25,2.5,2.25,2.0,4.0,4.0,40%-60%,Generating and evaluating ideas,3.0,3.0
i36297,23,Not in paid work - student,Chinese / Chinese British,Female,No but I speak it fluently,Chinese,Graduate degree (MA/MSc/MPhil/other),Asia,36291,0,0,Economics,3.5,1.75,2.75,4.5,4.0,2.0,2.0,1.0,20%-40%,Generating ideas,2.0,2.0
i36431,22,Not in paid work - student,Chinese / Chinese British,Male,No,Cantonese,Undergraduate degree (BA/BSc/other),Asia,36422,0,0,Earth science,4.0,2.25,1.75,1.75,4.5,1.0,4.0,2.0,Below 20%,Keeping notes,5.0,5.0
i36429,50,Self-employed,Chinese / Chinese British,Female,No but I speak it fluently,Chinese,Undergraduate degree (BA/BSc/other),Asia,36422,20,Other,Education,4.25,3.25,3.0,2.5,3.75,4.0,4.0,3.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i36436,50,Self-employed,Chinese / Chinese British,Male,No but I speak it fluently,Chinese,Graduate degree (MA/MSc/MPhil/other),Asia,36422,22,"Teacher, training and education",Engineering and technology,2.75,4.0,2.5,1.5,2.25,2.0,3.0,3.0,40%-60%,Generating ideas,1.0,4.0
i36435,32,Not in paid work - student,"Black / Black British - Caribbean, African, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Other,36422,5,0,Medicine and health,5.0,5.0,1.25,1.5,5.0,5.0,5.0,5.0,80%-100%,Generating and evaluating ideas,5.0,5.0
i36439,23,Full-time employed,"White - British, Irish, other",Female,Yes,,Graduate degree (MA/MSc/MPhil/other),Europe,36422,1,Science and pharmaceuticals,Chemistry,4.75,3.0,4.75,3.0,4.75,1.0,4.0,4.0,60%-80%,Generating and evaluating ideas,4.0,4.0
i36440,37,Not in paid work - student,"Black / Black British - Caribbean, African, other",Female,Yes,,Undergraduate degree (BA/BSc/other),Africa,36422,5,0,Medicine and health,5.0,5.0,2.75,2.75,4.5,5.0,5.0,2.0,60%-80%,Generating and evaluating ideas,5.0,5.0
